NameA,NameB,CmpdA,CmpdB,A#,B#,MCS,MCSAtomCount,MCSS
d1,d18,CC(=O)NCCCS(O)(=O)=O,[H][C@@]12CCCN1C(=O)[C@H](CC(C)C)N1C(=O)[C@](NC(=O)[C@H]3CN(C)[C@]4([H])CC5=C(Br)NC6=CC=CC(=C56)C4=C3)(O[C@@]21O)C(C)C,11,43,[#6&!R](=&!@[#8&!R])-&!@[#7&!R],3,0.058823529411764705
d18,d1,[H][C@@]12CCCN1C(=O)[C@H](CC(C)C)N1C(=O)[C@](NC(=O)[C@H]3CN(C)[C@]4([H])CC5=C(Br)NC6=CC=CC(=C56)C4=C3)(O[C@@]21O)C(C)C,CC(=O)NCCCS(O)(=O)=O,43,11,[#6&!R](=&!@[#8&!R])-&!@[#7&!R],3,0.058823529411764705
d1,d19,CC(=O)NCCCS(O)(=O)=O,CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1CC4=C5C(O[C@@H]2[C@@]35CCN1CC1CC1)=C(O)C=C4,11,34,[#6&!R]-&!@[#6&!R]-&!@[#6&!R],3,0.07142857142857142
d19,d1,CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1CC4=C5C(O[C@@H]2[C@@]35CCN1CC1CC1)=C(O)C=C4,CC(=O)NCCCS(O)(=O)=O,34,11,[#6&!R]-&!@[#6&!R]-&!@[#6&!R],3,0.07142857142857142
d1,d20,CC(=O)NCCCS(O)(=O)=O,CC(NC(C)(C)C)C(=O)C1=CC(Cl)=CC=C1,11,16,[#6&!R]-&!@[#6&!R]-&!@[#7&!R]-&!@[#6&!R]-&!@[#6&!R],5,0.22727272727272727
d20,d1,CC(NC(C)(C)C)C(=O)C1=CC(Cl)=CC=C1,CC(=O)NCCCS(O)(=O)=O,16,11,[#6&!R]-&!@[#6&!R]-&!@[#7&!R]-&!@[#6&!R]-&!@[#6&!R],5,0.22727272727272727
d2,d2,CC(=O)NC1=CC=C(O)C=C1,CC(=O)NC1=CC=C(O)C=C1,11,11,[#6&!R]-&!@[#6&!R](=&!@[#8&!R])-&!@[#7&!R]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#8&!R],11,1.0
d2,d3,CC(=O)NC1=CC=C(O)C=C1,CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O,11,30,[#6&!R]-&!@[#6&!R](=&!@[#8&!R])-&!@[#7&!R]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1,10,0.3225806451612903
d3,d2,CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O,CC(=O)NC1=CC=C(O)C=C1,30,11,[#6&!R]-&!@[#6&!R](=&!@[#8&!R])-&!@[#7&!R]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1,10,0.3225806451612903
d2,d4,CC(=O)NC1=CC=C(O)C=C1,CN(C)CCC1=CNC2=C1C=C(CS(=O)(=O)N1CCCC1)C=C2,11,23,[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1,6,0.21428571428571427
d4,d2,CN(C)CCC1=CNC2=C1C=C(CS(=O)(=O)N1CCCC1)C=C2,CC(=O)NC1=CC=C(O)C=C1,23,11,[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1,6,0.21428571428571427
d2,d5,CC(=O)NC1=CC=C(O)C=C1,CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12,11,22,[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1,6,0.2222222222222222
d5,d2,CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12,CC(=O)NC1=CC=C(O)C=C1,22,11,[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1,6,0.2222222222222222
d2,d6,CC(=O)NC1=CC=C(O)C=C1,NC12CC3CC(CC(C3)C1)C2,11,11,"[#7&!R]-&!@[#6]1:,-;@[#6]:,-;@[#6]:,-;@[#6]:,-;@[#6]:,-;@[#6]:,-;@1",7,0.4666666666666667
d6,d2,NC12CC3CC(CC(C3)C1)C2,CC(=O)NC1=CC=C(O)C=C1,11,11,"[#7&!R]-&!@[#6]1:,-;@[#6]:,-;@[#6]:,-;@[#6]:,-;@[#6]:,-;@[#6]:,-;@1",7,0.4666666666666667
d2,d7,CC(=O)NC1=CC=C(O)C=C1,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)CC1=CC=CC=C1Cl)CC1=CC=CC=C1Cl,11,36,[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1,6,0.14634146341463414
d7,d2,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)CC1=CC=CC=C1Cl)CC1=CC=CC=C1Cl,CC(=O)NC1=CC=C(O)C=C1,36,11,[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1,6,0.14634146341463414
d2,d8,CC(=O)NC1=CC=C(O)C=C1,CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12,11,21,[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1,6,0.23076923076923078
d8,d2,CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12,CC(=O)NC1=CC=C(O)C=C1,21,11,[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1,6,0.23076923076923078
d2,d9,CC(=O)NC1=CC=C(O)C=C1,ClC1=CC2=C(OC3=CC=CC=C3N=C2N2CCNCC2)C=C1,11,22,[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1,6,0.2222222222222222
d9,d2,ClC1=CC2=C(OC3=CC=CC=C3N=C2N2CCNCC2)C=C1,CC(=O)NC1=CC=C(O)C=C1,22,11,[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1,6,0.2222222222222222
d2,d10,CC(=O)NC1=CC=C(O)C=C1,CC(N)CC1=CC=CC=C1,11,10,[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1,6,0.4
d10,d2,CC(N)CC1=CC=CC=C1,CC(=O)NC1=CC=C(O)C=C1,10,11,[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1,6,0.4
d2,d11,CC(=O)NC1=CC=C(O)C=C1,[H][C@]12CC3=C(C(O)=C(O)C=C3)C3=CC=CC(CCN1C)=C23,11,20,[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#8&!R],7,0.2916666666666667
d11,d2,[H][C@]12CC3=C(C(O)=C(O)C=C3)C3=CC=CC(CCN1C)=C23,CC(=O)NC1=CC=C(O)C=C1,20,11,[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#8&!R],7,0.2916666666666667
d2,d12,CC(=O)NC1=CC=C(O)C=C1,C[C@@H](O[C@H]1OCCN(CC2=NNC(=O)N2)[C@H]1C1=CC=C(F)C=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F,11,37,[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1,6,0.14285714285714285
d12,d2,C[C@@H](O[C@H]1OCCN(CC2=NNC(=O)N2)[C@H]1C1=CC=C(F)C=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F,CC(=O)NC1=CC=C(O)C=C1,37,11,[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1,6,0.14285714285714285
d2,d13,CC(=O)NC1=CC=C(O)C=C1,ClC1=CC=CC(N2CCN(CCCCOC3=CC4=C(CCC(=O)N4)C=C3)CC2)=C1Cl,11,30,[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#8&!R],7,0.20588235294117646
d13,d2,ClC1=CC=CC(N2CCN(CCCCOC3=CC4=C(CCC(=O)N4)C=C3)CC2)=C1Cl,CC(=O)NC1=CC=C(O)C=C1,30,11,[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#8&!R],7,0.20588235294117646
d2,d14,CC(=O)NC1=CC=C(O)C=C1,OC(=O)\C=C/C(O)=O.CN1CC2C(C1)C1=C(OC3=CC=CC=C23)C=CC(Cl)=C1,11,28,[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1,6,0.18181818181818182
d14,d2,OC(=O)\C=C/C(O)=O.CN1CC2C(C1)C1=C(OC3=CC=CC=C23)C=CC(Cl)=C1,CC(=O)NC1=CC=C(O)C=C1,28,11,[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1,6,0.18181818181818182
d2,d15,CC(=O)NC1=CC=C(O)C=C1,CNCC[C@@H](OC1=CC=CC=C1C)C1=CC=CC=C1,11,19,[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#8&!R],7,0.30434782608695654
d15,d2,CNCC[C@@H](OC1=CC=CC=C1C)C1=CC=CC=C1,CC(=O)NC1=CC=C(O)C=C1,19,11,[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#8&!R],7,0.30434782608695654
d2,d16,CC(=O)NC1=CC=C(O)C=C1,NCC(CC(O)=O)C1=CC=C(Cl)C=C1,11,14,[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1,6,0.3157894736842105
d16,d2,NCC(CC(O)=O)C1=CC=C(Cl)C=C1,CC(=O)NC1=CC=C(O)C=C1,14,11,[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1,6,0.3157894736842105
d2,d17,CC(=O)NC1=CC=C(O)C=C1,[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C,11,23,"[#6&R](:,-;@[#6&R]:,-;@[#6&R]:,-;@[#6&R]-&!@[#8&!R]):,-;@[#6&R]:,-;@[#6&R]",7,0.25925925925925924
d17,d2,[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C,CC(=O)NC1=CC=C(O)C=C1,23,11,"[#6&R](:,-;@[#6&R]:,-;@[#6&R]:,-;@[#6&R]-&!@[#8&!R]):,-;@[#6&R]:,-;@[#6&R]",7,0.25925925925925924
d2,d18,CC(=O)NC1=CC=C(O)C=C1,[H][C@@]12CCCN1C(=O)[C@H](CC(C)C)N1C(=O)[C@](NC(=O)[C@H]3CN(C)[C@]4([H])CC5=C(Br)NC6=CC=CC(=C56)C4=C3)(O[C@@]21O)C(C)C,11,43,"[#6]1:,-;@[#6]:,-;@[#6]:&@[#6]:&@[#6]:,-;@[#6]:,-;@1",6,0.125
d18,d2,[H][C@@]12CCCN1C(=O)[C@H](CC(C)C)N1C(=O)[C@](NC(=O)[C@H]3CN(C)[C@]4([H])CC5=C(Br)NC6=CC=CC(=C56)C4=C3)(O[C@@]21O)C(C)C,CC(=O)NC1=CC=C(O)C=C1,43,11,"[#6]1:,-;@[#6]:,-;@[#6]:&@[#6]:&@[#6]:,-;@[#6]:,-;@1",6,0.125
d2,d19,CC(=O)NC1=CC=C(O)C=C1,CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1CC4=C5C(O[C@@H]2[C@@]35CCN1CC1CC1)=C(O)C=C4,11,34,"[#6]1:,-;@[#6]:,-;@[#6]:,-;@[#6](:,-;@[#6]:,-;@[#6]:,-;@1)-&!@[#8&!R]",7,0.18421052631578946
d19,d2,CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1CC4=C5C(O[C@@H]2[C@@]35CCN1CC1CC1)=C(O)C=C4,CC(=O)NC1=CC=C(O)C=C1,34,11,"[#6]1:,-;@[#6]:,-;@[#6]:,-;@[#6](:,-;@[#6]:,-;@[#6]:,-;@1)-&!@[#8&!R]",7,0.18421052631578946
d2,d20,CC(=O)NC1=CC=C(O)C=C1,CC(NC(C)(C)C)C(=O)C1=CC(Cl)=CC=C1,11,16,[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1,6,0.2857142857142857
d20,d2,CC(NC(C)(C)C)C(=O)C1=CC(Cl)=CC=C1,CC(=O)NC1=CC=C(O)C=C1,16,11,[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1,6,0.2857142857142857
d3,d3,CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O,CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O,30,30,[#6&!R]-&!@[#6&!R]-&!@[#7]1:&@[#7]:&@[#7]:&@[#7](:&@[#6]:&@1=&!@[#8&!R])-&!@[#6&!R]-&!@[#6&!R]-&!@[#7]1-&@[#6]-&@[#6]-&@[#6](-&@[#6]-&@[#6]-&@1)(-&!@[#6&!R]-&!@[#8&!R]-&!@[#6&!R])-&!@[#7&!R](-&!@[#6&!R](=&!@[#8&!R])-&!@[#6&!R]-&!@[#6&!R])-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1,30,1.0
d3,d4,CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O,CN(C)CCC1=CNC2=C1C=C(CS(=O)(=O)N1CCCC1)C=C2,30,23,[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1,6,0.1276595744680851
d4,d3,CN(C)CCC1=CNC2=C1C=C(CS(=O)(=O)N1CCCC1)C=C2,CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O,23,30,[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1,6,0.1276595744680851
d3,d5,CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O,CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12,30,22,[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1,6,0.13043478260869565
d5,d3,CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12,CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O,22,30,[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1,6,0.13043478260869565
d3,d6,CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O,NC12CC3CC(CC(C3)C1)C2,30,11,"[#7&!R]-&!@[#6]1-,:;@[#6]-,:;@[#6]-,:;@[#6]-,:;@[#6]-,:;@[#6]-,:;@1",7,0.20588235294117646
d6,d3,NC12CC3CC(CC(C3)C1)C2,CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O,11,30,"[#7&!R]-&!@[#6]1-,:;@[#6]-,:;@[#6]-,:;@[#6]-,:;@[#6]-,:;@[#6]-,:;@1",7,0.20588235294117646
d3,d7,CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)CC1=CC=CC=C1Cl)CC1=CC=CC=C1Cl,30,36,[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1,6,0.1
d7,d3,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)CC1=CC=CC=C1Cl)CC1=CC=CC=C1Cl,CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O,36,30,[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1,6,0.1
d3,d8,CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O,CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12,30,21,[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1,6,0.13333333333333333
d8,d3,CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12,CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O,21,30,[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1,6,0.13333333333333333
d3,d9,CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O,ClC1=CC2=C(OC3=CC=CC=C3N=C2N2CCNCC2)C=C1,30,22,[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1,6,0.13043478260869565
d9,d3,ClC1=CC2=C(OC3=CC=CC=C3N=C2N2CCNCC2)C=C1,CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O,22,30,[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1,6,0.13043478260869565
d3,d10,CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O,CC(N)CC1=CC=CC=C1,30,10,[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1,6,0.17647058823529413
d10,d3,CC(N)CC1=CC=CC=C1,CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O,10,30,[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1,6,0.17647058823529413
d3,d11,CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O,[H][C@]12CC3=C(C(O)=C(O)C=C3)C3=CC=CC(CCN1C)=C23,30,20,"[#6]1-&@[#6]-&@[#6]-&@[#7](-&@[#6]-&@[#6]:,-;@1)-&!@[#6&!R]",7,0.16279069767441862
d11,d3,[H][C@]12CC3=C(C(O)=C(O)C=C3)C3=CC=CC(CCN1C)=C23,CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O,20,30,"[#6]1-&@[#6]-&@[#6]-&@[#7](-&@[#6]-&@[#6]:,-;@1)-&!@[#6&!R]",7,0.16279069767441862
d3,d12,CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O,C[C@@H](O[C@H]1OCCN(CC2=NNC(=O)N2)[C@H]1C1=CC=C(F)C=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F,30,37,"[#6&R]-,:;@[#6&R]-,:;@[#6&R](-&!@[#6&!R]-&!@[#8&!R])-,:;@[#6&R]-,:;@[#6&R]",7,0.11666666666666667
d12,d3,C[C@@H](O[C@H]1OCCN(CC2=NNC(=O)N2)[C@H]1C1=CC=C(F)C=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F,CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O,37,30,"[#6&R]-,:;@[#6&R]-,:;@[#6&R](-&!@[#6&!R]-&!@[#8&!R])-,:;@[#6&R]-,:;@[#6&R]",7,0.11666666666666667
